*required* text,*required* text,http://some.domain.com,text,text,text,two character state (all caps),99999 or 99999-9999,"defaults to ""us"" if left blank. two character country (all caps)",physical,text,,,0
*required* text,*required* text,some.domain.com/,text,text,text,two character state (all caps),99999 or 99999-9999,"defaults to ""us"" if left blank. two character country (all caps)",physical,text,3983,mangled_url,1
depressive and bipolar support alliance whatcom county,"peer-directed national organization focusing on the two most prevalent mental health conditions, depression and bipolar disorder.  provides hope, help, support, and education to improve the lives of people who have mood disorders.",http://www.dbsalliance.org,800 chestnut street,suite 1c,bellingham,wa,98225,us,physical,whatcom,,,0
depressive and bipolar suupodt alliance whatcom county,,http://www.dbsabliance.org,800 chestnut street,suite 1c,bellingham,wa,98225,,physical,,3985,mangled_name|mangled_url|street_dup|blanked,1
bellingham parks and recreation division,the parks and recreation department supports a healthy community by providing high quality parks and recreation services.,https://cob.org/services/recreation,210 lottie street,,bellingham,wa,98225,us,physical,whatcom,,,0
bellingham parks and recreation ivision,the parks and recreation department supports a healthy community by providing high quality parks and recreation services.,http://cob.org/services/recreation,210 lottie street,,bellingham,wa,98225,us,physical,whatcom,3987,mangled_name|mangled_url,1
mount baker school district,public school district.,http://www.mtbaker.wednet.edu,4956 deming road,,deming,wa,98244,us,physical,whatcom,,,0
mount baker schood districd,public school district.,http://www.mtbaker.wednet.edu,4956 deming road,,deming,wa,98244,us,physical,whatcom,3989,mangled_name,1
bellingham technical college,"bellingham technical college provides student-centered, high-quality professional technical education for today’s needs and tomorrow’s opportunities.",https://www.btc.edu,3028 lindbergh avenue,,bellingham,wa,98225,us,physical,whatcom,,,0
bellingham echnical colfege,"bellingham technical college provides student-centered, high-quality professional technical education for today’s needs and tomorrow’s opportunities.",http://www.btc.edu,3028 lindbergh avenue,,bellingham,wa,98225,us,physical,whatcom,3991,mangled_name|mangled_url|street_dup,1
bellingham school district,public school district.,http://bellinghamschools.org,1306 dupont street,,bellingham,wa,98225,us,physical,whatcom,,,0
nooksack valley school district,public school district.,https://www.nv.k12.wa.us,3326 east badger road,,everson,wa,98247,us,physical,whatcom,,,0
nooksack vally scnool districw,public school district.,https://nv.co,3326 east badger road,,everson,wa,98247,us,physical,whatcom,3994,mangled_name|mangled_url|street_dup,1
western washington university,pubic university.,http://www.wwu.edu,516 high street,,bellingham,wa,98225,us,physical,whatcom,,,0
westyrn washington university,pubic university.,http://wwu.edu,516 high street,,bellingham,wa,98225,us,physical,whatcom,3996,mangled_name|mangled_url,1
western washington university,pubic university.,http://www.wwu.edu,516 high street,room 540,bellingham,wa,98225,us,physical,whatcom,,,0
wstern washington university,pubic university.,http://www.wwu.edu,516 high street,room 540,bellingham,wa,98225,us,physical,whatcom,3998,mangled_name,1
western washington university,pubic university.,http://www.wwu.edu,516 high street,room 265,bellingham,wa,98225,us,physical,whatcom,,,0
wegtern washington univrsity,pubic university.,http://www.wwu.edu,516 high street,room 265,bellingham,wa,98225,us,physical,whatcom,4000,mangled_name|street_dup,1
western washington university,pubic university.,http://www.wwu.edu,516 high street,"2nd floor, room 256",bellingham,wa,98225,us,physical,whatcom,,,0
western washington university,pubic university.,http://www.wwu.edu,188 east college way,room 453,bellingham,wa,98225,us,physical,whatcom,,,0
western washington university,pubic university.,http:/mwww.wwu.edu,188 east college wy,room 453,bellingham,wa,98225,us,physical,whatcom,4003,mangled_url|street_dup,1
western washington university,pubic university.,http://www.wwu.edu,516 high street,room 280,bellingham,wa,98225,us,physical,whatcom,,,0
western washington university,pubic university.,http://www.wwu.edu/,516 high street,room 280,bellingham,wa,98225,us,physical,whatcom,4005,mangled_url,1
western washington university,pubic university.,http://www.wwu.edu,516 high street,,bellingham,wa,98225,us,physical,whatcom,,,0
western washington univesity,pubic university.,http:/jwwu.edu,516 high street,,bellingham,wa,98225,us,physical,whatcom,4007,mangled_name|mangled_url|street_dup,1
ferndale school district,public school district.,http://www.ferndalesd.org,6041 vista drive,,ferndale,wa,98248,us,physical,whatcom,,,0
ferndale school district,public school district.,http://waw.ferndalesd.org/,6041 vista drive,,ferndale,wa,98248,us,physical,whatcom,4009,mangled_url|street_dup,1
point roberts food bank,the point roberts food bank provides food for those individuals at or below the poverty level as well as low income individuals.,http://www.harmonywebdesigns.com/pointrobertschurch/announcements.htm,323 evergreen way,,point roberts,wa,98281,us,physical,whatcom,,,0
point roberts food bank,the point roberts food bank provides food for those individuals at or below the poverty level as well as low income individuals.,http://karmonywebdesigns.com/pointrobertschurch/announcements.htm,323 evergreen way,,point roberts,wa,98281,us,physical,whatcom,4011,mangled_url,1
