,id,company_name,address_1,address_2,city,state_province,postal_code,url,description,duplicate_id,duplicate_type,cluster id,confidence
0,850f83f0-8ad7-4d1e-81c0-c7b19e5d380c,depressive and bipolar support alliance whatcom county,800 chestnut str.,suite 1c,bellingham,wa,98225,,,9a1a5f22-ee70-407d-a112-1e01891871a2,street_dupblanked,0,0.9986917972781955
1,db0ab21f-64d9-469a-a25f-33e8765716f1,bellingham parks and recreation division,210 lottie street,,bellingham,wa,98225,https://cob.org/services/recreation,the parks and recreation department supports a healthy community by providing high quality parks and recreation services.,,,69,1.0
2,9febd2f6-0a23-4a3e-979c-34add947efe9,mount baker school district,4956 deming road,,deming,wa,98244,http://www.mtbaker.wednet.edu,public school district.,,,70,1.0
3,9ccfe539-c0b7-48c9-83e0-f19a630a1916,mount baker school district,4956 deming rd,,deming,wa,98244,http://www.mtbaker.wednet.edu,public school district.,9febd2f6-0a23-4a3e-979c-34add947efe9,street_dup,71,1.0
4,d358eaa9-bee0-48b6-b61e-ee8e68657950,bellingham technical college,3028 lindbergh avenue,,bellingham,wa,98225,https://www.btc.edu,"bellingham technical college provides student-centered, high-quality professional technical education for todays needs and tomorrows opportunities.",,,72,1.0
5,be0a773e-0805-41d5-b884-0e13f6e76333,bellingham school district,1306 dupont street,,bellingham,wa,98225,http://bellinghamschools.org,public school district.,,,73,1.0
6,bc708449-8da2-4b49-9013-a99c0dcf0e2a,nooksack valley school district,3326 east badger road,,everson,wa,98247,https://www.nv.k12.wa.us,public school district.,,,4,0.7982345191071608
7,e6979b8b-2a0f-4a63-a72a-9c7d57182732,nooksack valley school district,3326 east badger road,,everson,wa,98247,https://www.nv.k12.wa.us,public school district.,bc708449-8da2-4b49-9013-a99c0dcf0e2a,street_dup,74,1.0
8,32f7173d-dd86-460c-ba98-ecaabb7d749e,western washington university,516 high street,,bellingham,wa,98225,http://www.wwu.edu,pubic university.,,,75,1.0
9,70488e02-330c-4a70-8abe-47f49682e3b1,western washington university,516 high street,room 540,bellingham,wa,98225,http://www.wwu.edu,pubic university.,,,10,0.44362601640930466
10,b26da0e5-6f88-4fc0-bbd4-92640a1c6663,western washington university,516 high street,room 265,bellingham,wa,98225,http://www.wwu.edu,pubic university.,,,10,0.44362601640930466
11,8c3c833c-1388-4355-ac68-54d35825c339,western washington university,516 high st,room 265,bellingham,wa,98225,http://www.wwu.edu,pubic university.,b26da0e5-6f88-4fc0-bbd4-92640a1c6663,street_dup,10,0.3686234890968587
12,d249a591-54dc-4ed1-8b83-00de8b867511,western washington university,516 high street,"2nd floor, room 256",bellingham,wa,98225,http://www.wwu.edu,pubic university.,,,10,0.44362601640930466
13,467c449a-b181-48ee-bf4d-a2972a4d1447,western washington university,188 east college way,room 453,bellingham,wa,98225,http://www.wwu.edu,pubic university.,,,76,1.0
14,f042c536-2e0d-4cce-b102-23e2b9a3d27b,western washington university,516 high street,room 280,bellingham,wa,98225,http://www.wwu.edu,pubic university.,,,10,0.44362601640930466
15,7c421088-67c7-4ebd-935a-2265af6bf01c,western washington university,516 high str,room 280,bellingham,wa,98225,http://www.wwu.edu,pubic university.,f042c536-2e0d-4cce-b102-23e2b9a3d27b,street_dup,10,0.38418248968678537
16,a6fd9a0c-1b69-4251-8042-4b1a1d69c346,western washington university,516 high street,,bellingham,wa,98225,http://www.wwu.edu,pubic university.,,,77,1.0
17,cae6d8d6-8fd3-44a7-a169-3fec15fc5a01,western washington university,516 high str.,,bellingham,wa,98225,http://www.wwu.edu,pubic university.,a6fd9a0c-1b69-4251-8042-4b1a1d69c346,street_dup,78,1.0
18,d6380640-01fb-4391-a800-4a3ca284bbba,ferndale school district,6041 vista drive,,ferndale,wa,98248,http://www.ferndalesd.org,public school district.,,,79,1.0
19,52093785-7005-4848-b6ac-ddd6c86b62eb,point roberts food bank,323 evergreen way,,point roberts,wa,98281,http://www.harmonywebdesigns.com/pointrobertschurch/announcements.htm,the point roberts food bank provides food for those individuals at or below the poverty level as well as low income individuals.,,,80,1.0
20,ba172206-2c85-44b2-a95c-ba7eb49bfb1d,river of life community church,4037 valley highway,,deming,wa,98244,,river of life community church has an outward focus. from helping feed and clothe our neighbors outreaches focused on kids reaching our hispanic neighbors through our maple falls church.,,,9,0.755623459815979
21,4e69bfbe-3c28-4736-9078-42c09f66ba0a,river of life community church,4037 valley highway,,deming,wa,98244,,river of life community church has an outward focus. from helping feed and clothe our neighbors outreaches focused on kids reaching our hispanic neighbors through our maple falls church.,ba172206-2c85-44b2-a95c-ba7eb49bfb1d,street_dup,9,0.755623459815979
22,f692dfa4-b73b-4ccc-82a5-ef3a28a7a447,saint vincent de paul - sacred heart church,1110 14th street,,bellingham,wa,98225,https://www.shbham.org,a faith based organization that offers assistance to people in need.,,,11,0.3752857682237979
23,d78e7bff-242f-4ce5-a3da-21d0f4e672e3,community assistance program,382 boblett street,,blaine,wa,98230,http://blainecap.org,"provides community-based social services to residents of blaine, birch bay, custer, and point roberts.",,,81,1.0
24,79cdeae1-d1ac-4715-8f83-0f5a621a0340,community assistance program,902 adelia street,,blaine,wa,98230,http://blainecap.org,"provides community-based social services to residents of blaine, birch bay, custer, and point roberts.",,,82,1.0
25,a7f70e54-efd1-4264-9afc-4c5a9a8ab063,community assistance program,902 adelia street,,blaine,wa,98230,http://blainecap.org,"provides community-based social services to residents of blaine, birch bay, custer, and point roberts.",79cdeae1-d1ac-4715-8f83-0f5a621a0340,street_dup,83,1.0
26,f5d804fd-59fa-425a-a5d3-1d019d0bbd11,community assistance program,508 g street,,blaine,wa,98230,http://blainecap.org,"provides community-based social services to residents of blaine, birch bay, custer, and point roberts.",,,84,1.0
27,13d3c0df-4deb-4816-8e47-49dfa6ea1d79,whatcom hospice,2800 douglas avenue,,bellingham,wa,98225,http://whatcomhospice.org,"provides services for patients with a life limiting illness of six months or less, and their families. services address medical, emotional, respite, and spiritual concerns.",,,85,1.0
28,97f75f06-9fc2-432b-85d3-4fb7fce6d1a1,whatcom hospice,3001 squalicum parkway,suite 11,bellingham,wa,98225,http://whatcomhospice.org,"provides services for patients with a life limiting illness of six months or less, and their families. services address medical, emotional, respite, and spiritual concerns.",,,49,0.47473001269749315
29,a19357f0-726e-497a-b838-0de62a438015,whatcom hospice,3001 squalicum parkway,suite 11,bellingham,wa,98225,http://whatcomhospice.org,"provides services for patients with a life limiting illness of six months or less, and their families. services address medical, emotional, respite, and spiritual concerns.",97f75f06-9fc2-432b-85d3-4fb7fce6d1a1,street_dup,49,0.47473001269749315
30,2eef7d1e-33aa-4b42-afff-e7e5ba8b20eb,blaine community/senior center,763 g street,,blaine,wa,98230,https://www.blaineseniorcenter.org,senior center.,,,86,1.0
31,a68a4a84-cfbe-429a-ac77-65be9bdf0002,blaine community/senior center,763 g st.,,blaine,wa,98230,https://www.blaineseniorcenter.org,senior center.,2eef7d1e-33aa-4b42-afff-e7e5ba8b20eb,street_dup,87,1.0
32,90cb3fb4-6fa7-4eac-adb4-5a3664fbfdb3,whatcom transportation authority (wta),4111 bakerview spur,,bellingham,wa,98226,http://www.ridewta.com,"provides fixed route, paratransit and vanpool service throughout whatcom county.",,,88,1.0
33,226cb0ae-cd0b-4113-9595-a1528e375911,whatcom county parks and recreation department,3373 mount baker highway,,bellingham,wa,98226,http://www.co.whatcom.wa.us/1787/parks-recreation,"the goal of the parks and recreation department is to enrich the quality of life for the community and preserve the natural and cultural heritage of the county through provision of outstanding parks and trails, open space and natural areas, as well as recreational activities and senior services.",,,39,0.6127721111436153
34,105cc812-05ae-4d23-8d56-d43096385659,whatcom county health department,509 girard street,,bellingham,wa,98225,http://www.whatcomcounty.us/360/health-department,to lead the community in promoting health and preventing disease by providing opportunities for the people in the community to thrive in a safe and healthy environment.,,,89,1.0
35,85a94cdd-49c7-493b-96de-291921e3456b,whatcom county health department,509 girard st.,,bellingham,wa,98225,http://www.whatcomcounty.us/360/health-department,to lead the community in promoting health and preventing disease by providing opportunities for the people in the community to thrive in a safe and healthy environment.,105cc812-05ae-4d23-8d56-d43096385659,street_dup,90,1.0
36,001b25b0-efc7-49f0-9705-06e5fcc20dd4,whatcom county health department,1500 north state street,,bellingham,wa,98225,http://www.whatcomcounty.us/360/health-department,to lead the community in promoting health and preventing disease by providing opportunities for the people in the community to thrive in a safe and healthy environment.,,,12,0.4253436783178447
37,0e2fa2ae-6751-4fc3-a0ea-3f59b0fbc365,whatcom county health department,4255 mitchell way,,bellingham,wa,98226,http://www.whatcomcounty.us/360/health-department,to lead the community in promoting health and preventing disease by providing opportunities for the people in the community to thrive in a safe and healthy environment.,,,91,1.0
38,9baec3e4-8ac7-4eae-8c35-68ebbb29d3ab,bellingham whatcom county housing authorities,208 unity st,,bellingham,wa,98225,http://www.bellinghamhousing.org,the housing authority of the city of bellingham is a local government agency that serves thousands of residents in whatcom county. the bellingham housing authority and the whatcom county housing authority work together to provide needed housing in our community.,,,92,1.0
